make,model,location,color,price_in_Ksh,year_of_manufacture,transmission,mileage_in_km,fuel,foreign_local,review_score
toyota,vanguard,Nairobi,black,1850000,2012,Automatic,81000,Petrol,Foreign,3.3333333333333335
nissan,bluebird,Nairobi,red,1200000,2013,Automatic,93600,Petrol,Foreign,4
mazda,premacy,Nairobi,black,800000,2010,Automatic,86000,Petrol,Local,3.5
toyota,vitz,Nairobi,black,685000,2013,Automatic,100000,Petrol,Foreign,4.733333333333333
toyota,passo,Nairobi,red,480000,2008,Automatic,128309,Petrol,Foreign,3
toyota,belta,Nairobi,green,530000,2010,Automatic,119000,Petrol,Local,4.636363636363637
subaru,forester,Nairobi,silver,2000000,2013,Automatic,100000,Petrol,Foreign,4.636363636363637
subaru,legacy,Nairobi,pearl,1495000,2013,Automatic,100000,Petrol,Foreign,4.666666666666667
nissan,advan,Eldoret,silver,580000,2013,Automatic,63000,Petrol,Foreign,3.5
nissan,x-trail,Nairobi,black,950000,2008,Automatic,168000,Petrol,Local,3.75
mazda,demio,Nairobi,white,590000,2013,Automatic,NA,Petrol,Local,3.7142857142857144
honda,fit,Nairobi,silver,760000,2012,Automatic,140000,Petrol,Foreign,4.666666666666667
toyota,wish,Nairobi,silver,1100000,2011,Automatic,NA,Petrol,Local,3.6666666666666665
toyota,passo,Mombasa,pearl,570000,2013,Automatic,90000,Petrol,Foreign,3
audi,q7,Nakuru,black,3900000,2011,Automatic,90000,Diesel,Local,3
toyota,isis,Nairobi,silver,830000,2009,Automatic,192000,Petrol,Local,3.6666666666666665
volkswagen,touareg,Nairobi,green,1600000,2005,Automatic,180000,Diesel,Local,3
volkswagen,golf,Nairobi,Not-specified,850000,2010,Automatic,121000,Petrol,Local,3.6
nissan,note,Nairobi,silver,600000,2011,Automatic,107370,Petrol,Local,4.333333333333333
toyota,rumion,Nairobi,Not-specified,970000,2012,Automatic,92400,Petrol,Foreign,3
honda,insight,Nairobi,silver,650000,2011,Automatic,90000,Petrol,Local,3.3333333333333335
toyota,vitz,Nairobi,grey,600000,2012,Automatic,120000,Petrol,Local,4.733333333333333
honda,insight,Nairobi,grey,630000,2011,Automatic,170000,Petrol,Local,3.3333333333333335
isuzu,d-max,Nairobi,white,930000,2007,Manual,314000,Diesel,Local,4
nissan,advan,Nairobi,silver,560000,2011,Automatic,107000,Petrol,Local,3.5
kia,sportage,Nairobi,silver,2300000,2012,Automatic,110300,Diesel,Foreign,3
nissan,sylphy,Nairobi,silver,610000,2008,Automatic,92000,Petrol,Local,3
volkswagen,golf,Nairobi,blue,950000,2010,Automatic,50000,Petrol,Local,3.6
toyota,vitz,Malindi,Not-specified,520000,2010,Automatic,124000,Petrol,Local,4.733333333333333
nissan,dualis,Nairobi,black,1100000,2010,Automatic,120000,Petrol,Local,3.6666666666666665
subaru,legacy,Nairobi,black,1150000,2010,Automatic,145000,Petrol,Local,4.666666666666667
nissan,navara,Nairobi,red,700000,2004,Manual,87086,Diesel,Local,3
honda,fit,Nairobi,orange,660000,2011,Manual,162556,Petrol,Local,4.666666666666667
nissan,dualis,Nairobi,white,1375000,2011,Automatic,127500,Petrol,Local,3.6666666666666665
volkswagen,tiguan,Nairobi,white,1850000,2010,Automatic,110000,Petrol,Local,3.3333333333333335
honda,cr-v,Nairobi,white,2150000,2012,Automatic,110715,Petrol,Local,4.333333333333333
volkswagen,passat,Nairobi,silver,1540000,2012,Automatic,43000,Petrol,Local,3
volkswagen,golf,Nairobi,grey,600000,2009,Manual,139000,Petrol,Local,3.6
nissan,x-trail,Nairobi,silver,850000,2006,Automatic,150000,Petrol,Local,3.75
subaru,legacy,Nairobi,black,1150000,2010,Automatic,145000,Petrol,Local,4.666666666666667
nissan,navara,Nairobi,red,700000,2004,Manual,87086,Diesel,Local,3
honda,fit,Nairobi,orange,660000,2011,Manual,162556,Petrol,Local,4.666666666666667
nissan,dualis,Nairobi,white,1375000,2011,Automatic,127500,Petrol,Local,3.6666666666666665
volkswagen,tiguan,Nairobi,white,1850000,2010,Automatic,110000,Petrol,Local,3.3333333333333335
honda,cr-v,Nairobi,white,2150000,2012,Automatic,110715,Petrol,Local,4.333333333333333
volkswagen,passat,Nairobi,silver,1540000,2012,Automatic,43000,Petrol,Local,3
volkswagen,golf,Nairobi,grey,600000,2009,Manual,139000,Petrol,Local,3.6
nissan,x-trail,Nairobi,silver,850000,2006,Automatic,150000,Petrol,Local,3.75
nissan,juke,Mt,Not-specified,1500000,2014,Automatic,43000,Petrol,Foreign,3
toyota,axio,Nairobi,beige,1100000,2013,Automatic,65000,Petrol,Foreign,3.6
toyota,axio,Nairobi,pearl,670000,2009,Automatic,146000,Petrol,Local,3.6
toyota,ist,Nairobi,silver,450000,2006,Automatic,264155,Petrol,Local,3.3333333333333335
mazda,demio,Nairobi,blue,539000,2011,Automatic,170000,Petrol,Local,3.7142857142857144
toyota,premio,Nairobi,white,1450000,2013,Automatic,42000,Petrol,Foreign,4.764705882352941
bmw,320i,Nairobi,white,850000,2007,Automatic,153000,Petrol,Local,3
subaru,impreza,Nairobi,Not-specified,590000,2006,Automatic,80000,Other,Local,4.714285714285714
subaru,outback,Nairobi,brown,1849000,2012,Automatic,79000,Petrol,Local,4.2
toyota,hilux,Nairobi,Not-specified,5699000,2019,Manual,4100,Diesel,Brand,4.2
