,make,price,details
8354,  2013 Toyota Wish     4 (4 Reviews)   ," KSh1,400,000 ",  Mombasa  Automatic  Black 71000 km   Foreign Used 2013 Petrol 
8355,  2013 Toyota Auris     5 (4 Reviews)   ," KSh1,080,000 ",  Mombasa  Automatic  White 32500 km   Foreign Used 2013 Petrol 
8356,  2013 Toyota Rumion  ," KSh1,080,000 ",  Mombasa  Automatic  52000 km   Foreign Used 2013 Petrol 
8357,  2013 Toyota Vitz     5 (13 Reviews)   ," KSh780,000 ",  Mombasa  Automatic  Silver 35200 km   Foreign Used 2013 Petrol 
8358,  2013 Toyota Vitz     5 (13 Reviews)   ," KSh780,000 ",  Mombasa  Automatic  White 32500 km   Foreign Used 2013 Petrol 
8359,  2013 Toyota Rush     3 (1 Review)   ," KSh1,450,000 ",  Mombasa  Automatic  Black 58000 km   Foreign Used 2013 Petrol 
8360,  2013 Mitsubishi Pajero     5 (2 Reviews)   ," KSh3,300,000 ",  Mombasa  Automatic  Grey 47800 km   Foreign Used 2013 Petrol 
8361,  2013 Toyota Land Cruiser     5 (7 Reviews)   ," KSh6,800,000 ",  Mombasa  Automatic  47500 km   Foreign Used 2013 
8362,  2013 Nissan X-Trail     4 (6 Reviews)   ," KSh1,680,000 ",  Mombasa  Manual  46500 km   Foreign Used 2013 
8363,  2010 Porsche Cayenne 3.2 V6 Automatic  ," KSh4,550,000 ",  Nairobi  Automatic  White 145000 km   Locally Used 2010 Petrol 
8364,  2013 Toyota Harrier     5 (8 Reviews)   ," KSh3,500,000 ",  Mombasa  Automatic  Black 45410 km   Foreign Used 2013 
8365,  2013 Toyota Premio     5 (15 Reviews)   ," KSh1,600,000 ",  Mombasa  Automatic  Grey 36520 km   Foreign Used 2013 Petrol 
8366,  2019 Lexus 570  ," KSh19,000,000 ",  Mombasa  Automatic  White Foreign Used 2019 
8367,   2013 Mazda Demio     4 (5 Reviews)   ," KSh680,000 ",  Mombasa  Automatic  Black 25400 km   Foreign Used 2013 Petrol 
8368,  2013 Toyota Wish     4 (4 Reviews)   ," KSh1,300,000 ",  Mombasa  Automatic  White 41500 km   Foreign Used 2013 Petrol 
8369,  2014 Subaru Forester     5 (9 Reviews)   ," KSh2,600,000 ",  Mombasa  Automatic  Black 38400 km   Foreign Used 2014 
8370,  2014 Mercedes-Benz E350  ," KSh3,500,000 ",  Mombasa  Automatic  White 45100 km   Foreign Used 2014 Other 
8371,  2013 Toyota Premio     5 (15 Reviews)   ," KSh1,680,000 ",  Nairobi  Automatic  Silver 49000 km   Foreign Used 2013 Petrol 
8372,  2013 Toyota Passo  ," KSh650,000 ",  Mombasa  Automatic  32500 km   Foreign Used 2013 Petrol 
8373,  2014 Subaru Forester     5 (9 Reviews)   ," KSh2,300,000 ",  Mombasa  Automatic  Silver 36500 km   Foreign Used 2014 
8374,  2014 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh4,500,000 ",  Mombasa  Automatic  White 31400 km   Foreign Used 2014 
8375,   2013 Toyota Wish     4 (4 Reviews)   ," KSh1,300,000 ",  Mombasa  Automatic  35200 km   Foreign Used 2013 
8376,  2008 Toyota Harrier     5 (8 Reviews)   ," KSh1,550,000 ",  Mombasa  Automatic  92000 km   Locally Used 2008 
8377,  2013 Toyota Vanguard     4 (1 Review)   ," KSh2,350,000 ",  Mombasa  Automatic  35200 km   Foreign Used 2013 
8378,  2013 Toyota Premio     5 (15 Reviews)   ," KSh1,600,000 ",  Mombasa  Automatic  35200 km   Foreign Used 2013 
8379,  2013 Toyota ISIS     5 (1 Review)   ," KSh1,100,000 ",  Mombasa  Automatic  32100 km   Foreign Used 2013 
8380,  2013 Honda Fit     5 (10 Reviews)   ," KSh950,000 ",  Mombasa  Automatic  35200 km   Foreign Used 2013 
8381,  2013 Subaru Forester     5 (9 Reviews)   ," KSh2,350,000 ",  Mombasa  Automatic  35200 km   Foreign Used 2013 
8382,  2013 Toyota HiAce     5 (3 Reviews)    ," KSh2,500,000 ",  Mombasa  Automatic  32400 km   Foreign Used 2013 
8383,  2013 Subaru Forester     5 (9 Reviews)   ," KSh2,300,000 ",  Mombasa  Automatic  Dark Grey 65000 km   Foreign Used 2013 Petrol 
8384,  2014 Toyota Mark X Zio     5 (6 Reviews)   ," KSh1,700,000 ",  Mombasa  Automatic  White 52300 km   Foreign Used 2014 Petrol 
8385,  2013 Toyota Harrier     5 (8 Reviews)   ," KSh3,600,000 ",  Mombasa  Automatic  Black 86000 km   Foreign Used 2013 Petrol 
8386,  2013 Subaru Forester     5 (9 Reviews)   ," KSh2,350,000 ",  Mombasa  Automatic  35600 km   Foreign Used 2013 
8387,  2013 Mazda Demio     4 (5 Reviews)   ," KSh800,000 ",  Mombasa  Automatic  32000 km   Foreign Used 2013 
8388,  2013 Nissan X-Trail     4 (6 Reviews)   ," KSh2,350,000 ",  Mombasa  Automatic  32100 km   Foreign Used 2013 
8389,  2013 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh4,550,000 ",  Mombasa  Automatic  35200 km   Foreign Used 2013 
8390,  2013 Nissan Tiida     5 (5 Reviews)   ," KSh750,000 ",  Mombasa  Automatic  32100 km   Foreign Used 2013 
8391,  2013 Mazda Premacy     4 (2 Reviews)   ," KSh830,000 ",  Mombasa  Automatic  35210 km   Foreign Used 2013 
8392,  2013 Honda Fit     5 (10 Reviews)   ," KSh750,000 ",  Mombasa  Automatic  32100 km   Foreign Used 2013 
8393,  2013 Toyota Passo  ," KSh700,000 ",  Mombasa  Automatic  35200 km   Foreign Used 2013 
8394,  2013 Nissan Note     5 (4 Reviews)   ," KSh730,000 ",  Mombasa  Automatic  32100 km   Foreign Used 2013 
8395,  2013 Mazda Demio     4 (5 Reviews)   ," KSh650,000 ",  Mombasa  Automatic  32100 km   Foreign Used 2013 
8396,  2013 Toyota Voxy     4 (2 Reviews)   ," KSh1,450,000 ",  Mombasa  Automatic  32100 km   Foreign Used 2013 
8397,  2013 Toyota Fielder     5 (8 Reviews)   ," KSh1,200,000 ",  Mombasa  Automatic  32100 km   Foreign Used 2013 
8398,  2013 Toyota Mark X     5 (6 Reviews)   ," KSh1,650,000 ",  Mombasa  Automatic  32100 km   Foreign Used 2013 
8399,  2013 Mazda Demio     4 (5 Reviews)   ," KSh680,000 ",  Mombasa  Automatic  23100 km   Foreign Used 2013 
8400,  2013 Toyota Fielder     5 (8 Reviews)   ," KSh1,200,000 ",  Mombasa  Automatic  32100 km   Foreign Used 2013 
8401,  2013 Toyota bB  ," KSh750,000 ",  Mombasa  Automatic  31200 km   Foreign Used 2013 Electric 
8402,  2013 Toyota Probox     5 (7 Reviews)   ," KSh780,000 ",  Mombasa  Automatic  32100 km   Foreign Used 2013 
8403,  2013 Nissan NV200  ," KSh950,000 ",  Mombasa  Automatic  32100 km   Foreign Used 2013 
8404,  2013 Toyota HiAce     5 (3 Reviews)   ," KSh2,500,000 ",  Mombasa  Automatic  34200 km   Foreign Used 2013 
8405,  2013 Toyota Harrier     5 (8 Reviews)   ," KSh2,750,000 ",  Mombasa  Automatic  32100 km   Foreign Used 2013 
8406,  2013 Nissan juke     3 (1 Review)   ," KSh1,200,000 ",  Mombasa  Automatic  Foreign Used 2013 
8407,  2013 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh4,100,000 ",  Mombasa  Automatic  32100 km   Foreign Used 2013 
8408,  2013 Nissan Dualis     5 (1 Review)   ," KSh1,550,000 ",  Mombasa  Automatic  34200 km   Foreign Used 2013 
8409,  2013 Nissan Dualis     5 (1 Review)   ," KSh1,550,000 ",  Mombasa  Automatic  32100 km   Foreign Used 2013 
8410,  2013 Toyota Auris 1.4 VVT-i     5 (4 Reviews)   ," KSh1,300,000 ",  Mombasa  Automatic  White 53400 km   Foreign Used 2013 Petrol 
8411,  2013  Mitsubishi RVR 2.0     3 (1 Review)   ," KSh1,750,000 ",  Mombasa  Automatic  White 65000 km   Foreign Used 2013 Petrol 
8412,  2013 Perodua Bezza  ," KSh3,600,000 ",  Mombasa  Automatic  Silver 80000 km   Foreign Used 2013 Petrol 
8413,  2013 Volkswagen Golf 2.0 SDi     4 (3 Reviews)   ," KSh1,150,000 ",  Mombasa  Automatic  Silver 52000 km   Foreign Used 2013 Petrol 
8414,  2013 Subaru Forester 2.0 Automatic     5 (9 Reviews)   ," KSh2,500,000 ",  Mombasa  Automatic  Maroon 65000 km   Foreign Used 2013 Petrol 
8415,  2013 Toyota Passo  ," KSh700,000 ",  Mombasa  Automatic  32100 km   Foreign Used 2013 
8416,  2013 Toyota Vanguard     4 (1 Review)   ," KSh2,500,000 ",  Mombasa  Automatic  36500 km   Foreign Used 2013 
8417,  2013 Toyota Auris     5 (4 Reviews)   ," KSh1,300,000 ",  Mombasa  Automatic  36500 km   Foreign Used 2013 
8418,  2013 Toyota Premio     5 (15 Reviews)   ," KSh1,600,000 ",  Mombasa  Automatic  36500 km   Foreign Used 2013 
8419,  2013 Toyota Vanguard     4 (1 Review)   ," KSh2,500,000 ",  Mombasa  Automatic  36500 km   Foreign Used 2013 
8420,  2017 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh6,000,000 ",  Mombasa  Automatic  36500 km   Foreign Used 2017 
8421,  2013 Toyota ISIS     5 (1 Review)   ," KSh1,100,000 ",  Mombasa  Automatic  36500 km   Foreign Used 2013 
8422,  2013 Toyota Fielder     5 (8 Reviews)   ," KSh1,200,000 ",  Mombasa  Automatic  65200 km   Foreign Used 2013 
8423,  2015 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh5,800,000 ",  Mombasa  Automatic  36500 km   Foreign Used 2015 
8424,  2013 Nissan Note      5 (4 Reviews)   ," KSh750,000 ",  Mombasa  Automatic  56200 km   Foreign Used 2013 
8425,  2013 Mazda Demio     4 (5 Reviews)   ," KSh680,000 ",  Mombasa  Automatic  56200 km   Foreign Used 2013 
8426,  2013 Toyota Hilux     5 (3 Reviews)   ," KSh3,750,000 ",  Mombasa  Automatic  36500 km   Foreign Used 2013 
8427,  2013 Toyota Hilux     5 (3 Reviews)   ," KSh3,750,000 ",  Mombasa  Automatic  56200 km   Foreign Used 2013 
8428,  2014 Toyota Hilux     5 (3 Reviews)   ," KSh3,750,000 ",  Mombasa  Automatic  65200 km   Foreign Used 2014 
8429,  2014 Toyota Harrier     5 (8 Reviews)   ," KSh3,500,000 ",  Mombasa  Automatic  White 31000 km   Foreign Used 2014 Petrol 
8430,  2013 Toyota Vanguard     4 (1 Review)   ," KSh2,450,000 ",  Mombasa  Automatic  White 31000 km   Foreign Used 2013 Petrol 
8431,  2013 Toyota Fielder     5 (8 Reviews)   ," KSh1,200,000 ",  Mombasa  Automatic  Black 30200 km   Foreign Used 2013 Petrol 
8432,  2013 Toyota Fielder     5 (8 Reviews)   ," KSh1,200,000 ",  Mombasa  Automatic  White 29500 km   Foreign Used 2013 Petrol 
8433,  2013 Honda Fit     5 (10 Reviews)   ," KSh950,000 ",  Mombasa  Automatic  White 29500 km   Foreign Used 2013 Petrol 
8434,  2013 Honda Fit     5 (10 Reviews)   ," KSh950,000 ",  Mombasa  Automatic  Black 28500 km   Foreign Used 2013 Petrol 
8435,  2013 Mazda Demio     4 (5 Reviews)   ," KSh680,000 ",  Mombasa  Automatic  Black 24500 km   Foreign Used 2013 Petrol 
8436,  2013 Toyota Premio     5 (15 Reviews)   ," KSh1,600,000 ",  Mombasa  Automatic  Black 24200 km   Foreign Used 2013 Petrol 
8437,  2014 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh4,500,000 ",  Mombasa  Manual  Black 31500 km   Foreign Used 2014 
8438,  2014 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh4,550,000 ",  Mombasa  Automatic  32000 km   Foreign Used 2014 
8439,  2013 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh4,550,000 ",  Mombasa  Automatic  28500 km   Foreign Used 2013 Petrol 
8440,  2020 Toyota Land Cruiser     5 (7 Reviews)   ," KSh6,835,670 ",  Nairobi - Duty Exempted  Automatic  Black Brand New 2020 Petrol 
8441,   2013 Mazda Demio     4 (5 Reviews)   ," KSh680,000 ",  Mombasa  Automatic  Silver 30200 km   Foreign Used 2013 Petrol 
8442,  2014 Lexus RX     5 (3 Reviews)   ," KSh3,800,000 ",  Mombasa  Automatic  White 32400 km   Foreign Used 2014 
8443,  2014 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh4,500,000 ",  Mombasa  Automatic  Black 32500 km   Foreign Used 2014 Petrol 
8444,  2009 Toyota IST     4 (1 Review)   ," KSh570,000 ",  Mombasa  Automatic  Silver 112056 km   Locally Used 2009 Petrol 
8445,  2009 Nissan Bluebird     5 (2 Reviews)   ," KSh570,000 ",  Mombasa  Automatic  Dark Blue 98754 km   Locally Used 2009 Petrol 
8446,  2007 Toyota Crown 1500     5 (3 Reviews)   ," KSh550,000  ",  Mombasa  Automatic  Black 98575 km   Locally Used 2007 Petrol 
8447,  2010 Toyota Wish     4 (4 Reviews)   ," KSh860,000 ",  Mombasa  Automatic  White 95896 km   Locally Used 2010 Petrol 
8448,  2012 Toyota Vanguard     4 (1 Review)   ," KSh1,950,000 ",  Mombasa  Automatic  Black 55985 km   Foreign Used 2012 Petrol 
8449,  2013 Mazda CX-5 2WD     4 (1 Review)   ," KSh2,130,000  ",  Mombasa  Automatic  Red 100000 km   Foreign Used 2013 Petrol 
8450,  2013 Volkswagen Golf     4 (3 Reviews)   ," KSh1,190,000 ",  Nairobi  Automatic  Blue 70813 km   Foreign Used 2013 Petrol 
8451,  2013 Volkswagen Passat     3 (1 Review)   ," KSh1,490,000 ",  Nairobi  Automatic  Black 70000 km   Foreign Used 2013 Petrol 
8452,  2008 Nissan Note     5 (4 Reviews)   ," KSh480,000 ",  Nairobi  Automatic  Silver 83000 km   Locally Used 2008 Petrol 
8453,  2013 Toyota Axio     4 (3 Reviews)   ," KSh1,150,000 ",  Nairobi  Automatic  Gold 89534 km   Foreign Used 2013 Petrol 
8454,  1988 Land Rover Defender 110   ," KSh2,450,000 ",  Nairobi  Manual  Black 123456 km   Locally Used 1988 Diesel 
8455,  2013 Volkswagen Passat     3 (1 Review)   ," KSh1,490,000 ",  Nairobi  Automatic  White 733567 km   Foreign Used 2013 Petrol 
8456,  2013 Volkswagen Passat     3 (1 Review)   ," KSh1,150,000 ",  Nairobi  Automatic  Blue 70000 km   Foreign Used 2013 Petrol 
8457,  2002 Subaru Forester     5 (9 Reviews)   ," KSh460,000 ",  Nairobi  Automatic  Silver 277312 km   Locally Used 2002 Petrol 
8458,  2013 Toyota Axio     4 (3 Reviews)   ," KSh1,200,000 ",  Nairobi  Manual  Silver 70000 km   Foreign Used 2013 Petrol 
8459,  2014 Porsche Cayenne  ," KSh5,350,000 ",  Nairobi  Automatic  Dark Grey Foreign Used 2014 Petrol 
8460,  2014 Porsche Cayenne  ," KSh5,350,000 ",  Nairobi  Automatic  Dark Grey Foreign Used 2014 Petrol 
8461,  2014 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh5,500,000 ",  Nairobi  Automatic  Black Foreign Used 2014 Petrol 
8462,  2013 Subaru Outback 2.5i Premium     5 (3 Reviews)   ," KSh1,999,999 ",  Mombasa  Automatic  Black 80000 km   Foreign Used 2013 Petrol 
8463,  2015 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh6,800,000 ",  Nairobi  Automatic  Other 47000 km   Foreign Used 2015 Diesel 
8464,  2013 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh5,350,000 ",  Nairobi  Automatic  Grey Foreign Used 2013 Diesel 
8465,  2013 Mazda CX-5     4 (1 Review)   ," KSh1,820,000 ",  Nairobi  Automatic  Beige 82000 km   Foreign Used 2013 Petrol 
8466,  2010 Toyota Land Cruiser Prado TX-L     4 (3 Reviews)   ," KSh3,400,000 ",  Nairobi  Automatic  Silver 124000 km   Locally Used 2010 Petrol 
8467,  2013 Mitsubishi Outlander     4 (2 Reviews)   ," KSh2,300,000 ",  Nairobi  Automatic  White 74000 km   Foreign Used 2013 Petrol 
8468,  2012 Toyota Axio     4 (3 Reviews)   ," KSh1,100,000 ",  Nairobi  Automatic  Gold 30000 km   Foreign Used 2012 Petrol 
8469,  2013 Toyota Ractis     5 (7 Reviews)   ," KSh925,000 ",  Nairobi  Automatic  Blue 36000 km   Foreign Used 2013 Petrol 
8470,  2012 Volkswagen Touran     5 (2 Reviews)   ," KSh1,200,000 ",  Nairobi  Automatic  Blue 63000 km   Foreign Used 2012 Petrol 
8471,  2012 Subaru Legacy     5 (10 Reviews)   ," KSh2,250,000 ",  Nairobi  Automatic  White Foreign Used 2012 Petrol 
8472,  2012 Suzuki Escudo     4 (2 Reviews)   ," KSh1,675,000 ",  Nairobi  Automatic  Silver Foreign Used 2012 Petrol 
8473,  2013 Toyota Sienta     5 (1 Review)   ," KSh900,000 ",  Nairobi  Automatic  Red 72000 km   Foreign Used 2013 Petrol 
8474,  2013 Toyota Passo  ," KSh650,000 ",  Nairobi  Automatic  Red 33000 km   Foreign Used 2013 Petrol 
8475,  2013 Toyota Land Cruiser     5 (7 Reviews)   ," KSh8,500,000 ",  Nairobi  Automatic  White Foreign Used 2013 Diesel 
8476,  2012 Nissan Teana     5 (1 Review)   ," KSh1,100,000 ",  Nairobi  Automatic  White 94000 km   Foreign Used 2012 Petrol 
8477,  2016 Toyota Harrier     5 (8 Reviews)   ," KSh4,800,000 ",  Nairobi  Automatic  Blue 9000 km   Foreign Used 2016 Petrol 
8478,  2012 Toyota Auris     5 (4 Reviews)   ," KSh1,275,000 ",  Nairobi  Automatic  Brown 61000 km   Foreign Used 2012 Petrol 
8479,  2016 Toyota RAV4     5 (6 Reviews)   ," KSh4,200,000 ",  Nairobi  Automatic  Maroon Foreign Used 2016 Petrol 
8480,  2012 Nissan Dualis     5 (1 Review)   ," KSh1,550,000 ",  Nairobi  Automatic  Silver 90000 km   Foreign Used 2012 Petrol 
8481,  2013 Toyota Probox     5 (7 Reviews)   ," KSh800,000 ",  Mombasa  Automatic  Silver 89000 km   Foreign Used 2013 Petrol 
8482,  2013 Mitsubishi Outlander 2.4     4 (2 Reviews)   ," KSh2,300,000 ",  Mombasa  Automatic  Brown 86975 km   Foreign Used 2013 Petrol 
8483,  2013 Mercedes-Benz E250  ," KSh3,000,000 ",  Mombasa  Automatic  White 35998 km   Foreign Used 2013 Petrol 
8484,  2014 Mercedes-Benz E250  ," KSh3,600,000 ",  Mombasa  Automatic  Grey 46000 km   Foreign Used 2014 Petrol 
8485,  2015 Mercedes-Benz E250  ," KSh3,600,000 ",  Mombasa  Automatic  Silver 63482 km   Foreign Used 2015 Petrol 
8486,  2014 Mercedes-Benz ML350  ," KSh6,500,000 ",  Mombasa  Automatic  Gold 65482 km   Foreign Used 2014 Petrol 
8487,  2014 Mercedes-Benz E250  ," KSh3,450,000  ",  Mombasa  Automatic  Grey 35998 km   Foreign Used 2014 Petrol 
8488,  2012 Mercedes-Benz E350  ," KSh2,600,000 ",  Mombasa  Automatic  Silver 134000 km   Foreign Used 2012 Diesel 
8489,  2013 Toyota Wish     4 (4 Reviews)   ," KSh1,230,000 ",  Mombasa  Automatic  Black 65482 km   Foreign Used 2013 Petrol 
8490,  2013 Nissan Tiida Hatchback     5 (5 Reviews)   ," KSh830,000 ",  Mombasa  Automatic  Maroon 68957 km   Foreign Used 2013 Petrol 
8491,  2013 Toyota Ractis     5 (7 Reviews)   ," KSh850,000 ",  Mombasa  Automatic  Blue 81972 km   Foreign Used 2013 Petrol 
8492,  2014 Toyota Fielder     5 (8 Reviews)   ," KSh1,250,000 ",  Mombasa  Automatic  Pink 65482 km   Foreign Used 2014 Petrol 
8493,  2011 Toyota Ractis     5 (7 Reviews)   ," KSh685,000 ",  Mombasa  Automatic  Silver 97852 km   Locally Used 2011 Petrol 
8494,  2013 Mazda Demio 1.3     4 (5 Reviews)   ," KSh680,000 ",  Mombasa  Automatic  Blue 98547 km   Foreign Used 2013 Petrol 
8495,  2013 Toyota Premio     5 (15 Reviews)   ," KSh1,550,000 ",  Mombasa  Automatic  Silver 65482 km   Foreign Used 2013 Petrol 
8496,  2013 Toyota Vitz     5 (13 Reviews)   ," KSh780,000 ",  Mombasa  Automatic  Yellow 65482 km   Foreign Used 2013 Petrol 
8497,  2014 Toyota Passo 1.3L  ," KSh650,000 ",  Mombasa  Automatic  Maroon 27451 km   Foreign Used 2014 Petrol 
8498,  2013 Toyota Axio     4 (3 Reviews)   ," KSh1,150,000 ",  Mombasa  Automatic  Maroon 65489 km   Foreign Used 2013 Petrol 
8499,  2013 Nissan X-Trail 2.0 Automatic     4 (6 Reviews)   ," KSh1,680,000 ",  Mombasa  Automatic  Black 89297 km   Foreign Used 2013 Petrol 
8500,  2013  Nissan March     5 (5 Reviews)   ," KSh550,000 ",  Mombasa  Automatic  Pink 97679 km   Foreign Used 2013 Petrol 
8501,  2014 Toyota Passo 1.3L  ," KSh650,000 ",  Mombasa  Automatic  Maroon 45896 km   Foreign Used 2014 Petrol 
8502,  2013 Toyota Vitz 1.3 U     5 (13 Reviews)   ," KSh750,000 ",  Mombasa  Automatic  Silver 68429 km   Foreign Used 2013 Petrol 
8503,  2013 Mazda Demio 1.3     4 (5 Reviews)   ," KSh650,000 ",  Mombasa  Automatic  Blue 75284 km   Foreign Used 2013 Petrol 
8504,  2013 BMW 320i Sport  ," KSh1,800,000 ",  Mombasa  Automatic  White 65482 km   Foreign Used 2013 Petrol 
8505,  2014 Toyota Crown Automatic     5 (3 Reviews)   ," KSh2,550,000 ",  Mombasa  Automatic  Black 97852 km   Foreign Used 2014 Petrol 
8506,  2013 Toyota Probox     5 (7 Reviews)   ," KSh720,000 ",  Mombasa  Automatic  Silver 97589 km   Foreign Used 2013 Petrol 
8507,  2014 Subaru Legacy 2.5     5 (10 Reviews)   ," KSh1,600,000 ",  Mombasa  Automatic  Blue 53982 km   Foreign Used 2014 Petrol 
8508,  2013 Toyota Vanguard     4 (1 Review)   ," KSh2,300,000 ",  Mombasa  Automatic  Black 59597 km   Foreign Used 2013 Petrol 
8509,  2010 Toyota ISIS     5 (1 Review)   ," KSh685,000 ",  Mombasa  Automatic  White 155269 km   Locally Used 2010 Petrol 
8510,  2009 Toyota Belta     5 (9 Reviews)   ," KSh550,000 ",  Mombasa  Automatic  Silver 152008 km   Locally Used 2009 Petrol 
8511,  2011 Toyota Harrier     5 (8 Reviews)   ," KSh1,630,000 ",  Mombasa  Automatic  Black 97583 km   Locally Used 2011 Petrol 
8512,  2013 Toyota Mark X     5 (6 Reviews)   ," KSh1,550,000 ",  Mombasa  Automatic  White 65482 km   Foreign Used 2013 Petrol 
8513,  2014 Mazda CX-5 2WD     4 (1 Review)   ," KSh2,200,000 ",  Mombasa  Automatic  Black 35896 km   Foreign Used 2014 Petrol 
8514,  2013 Mitsubishi Pajero 3.2 DI-D Automatic     5 (2 Reviews)   ," KSh3,500,000 ",  Mombasa  Automatic  Silver 41862 km   Foreign Used 2013 Diesel 
8515,  2013 Toyota Vanguard     4 (1 Review)   ," KSh2,300,000 ",  Mombasa  Automatic  Black 65897 km   Foreign Used 2013 Petrol 
8516,  2016 Toyota Land Cruiser Prado TX-L     4 (3 Reviews)   ," KSh6,800,000 ",  Mombasa  Automatic  White 50528 km   Foreign Used 2016 Diesel 
8517,  2014 Daihatsu Mira  ," KSh450,000 ",  Mombasa  Automatic  Silver 65482 km   Foreign Used 2014 Petrol 
8518,   2014 Suzuki Alto     5 (3 Reviews)   ," KSh450,000 ",  Mombasa  Automatic  Maroon 68948 km   Foreign Used 2014 Petrol 
8519,  2013 Toyota Mark X Rio     5 (6 Reviews)   ," KSh1,500,000 ",  Mombasa  Automatic  Grey 82544 km   Foreign Used 2013 Petrol 
8520,  2014 Suzuki Alto     5 (3 Reviews)   ," KSh450,000  ",  Mombasa  Automatic  Maroon 68948 km   Foreign Used 2014 Petrol 
8521,  2013 Toyota Mark X Rio     5 (6 Reviews)   ," KSh1,500,000 ",  Mombasa  Automatic  Grey 82544 km   Foreign Used 2013 Petrol 
8522,  2008 Toyota Vitz 1.0 F     5 (13 Reviews)   ," KSh420,000 ",  Mombasa  Automatic  Silver 152587 km   Locally Used 2008 Petrol 
8523,  2014  Suzuki Swift 1.6 Sports     5 (1 Review)   ," KSh670,000 ",  Mombasa  Automatic  Blue 65482 km   Foreign Used 2014 Petrol 
8524,   2006 Toyota Probox     5 (7 Reviews)   ," KSh430,000 ",  Mombasa  Automatic  White 13581 km   Locally Used 2006 Petrol 
8525,  2009 Toyota Axio     4 (3 Reviews)   ," KSh780,000 ",  Mombasa  Automatic  White 98756 km   Locally Used 2009 Petrol 
8526,  2014 Toyota Passo 1.3L  ," KSh6,300,000 ",  Mombasa  Automatic  Silver 65000 km   Foreign Used 2014 Petrol 
8527,  2016 Nissan Patrol 5.6     4 (1 Review)   ," KSh10,000,000 ",  Mombasa  Automatic  Black 5000 km   Foreign Used 2016 Petrol 
8528,  2014 Mazda CX-5 2WD     4 (1 Review)   ," KSh2,300,000 ",  Mombasa  Automatic  Black 35998 km   Foreign Used 2014 Petrol 
8529,  2012 Audi Q5 2.0 TDI Automatic  ," KSh2,800,000 ",  Mombasa  Automatic  Black 65482 km   Foreign Used 2012 Petrol 
8530,  2013 Toyota Land Cruiser Sahara     5 (7 Reviews)   ," KSh9,000,000 ",  Mombasa  Automatic  Silver 53982 km   Foreign Used 2013 Diesel 
8531,  2015 Toyota Land Cruiser Sahara     5 (7 Reviews)   ," KSh9,500,000 ",  Mombasa  Automatic  Grey 47000 km   Foreign Used 2015 Diesel 
8532,  2013 Toyota Probox     5 (7 Reviews)   ," KSh580,000 ",  Mombasa  Automatic  White 98578 km   Foreign Used 2013 Petrol 
8533,  2010 Toyota Probox     5 (7 Reviews)   ," KSh560,000 ",  Mombasa  Automatic  White 110000 km   Foreign Used 2010 Petrol 
8534,  2013 Honda Fit Sport Automatic     5 (10 Reviews)   ," KSh800,000 ",  Mombasa  Automatic  Yellow 65482 km   Foreign Used 2013 Petrol 
8535,  2013 Mazda CX-5 2WD     4 (1 Review)   ,"  KSh1,900,000 ",  Nairobi  Automatic  Dark Grey 121000 km   Foreign Used 2013 Petrol 
8536,  2013 Mazda Demio 1.3     4 (5 Reviews)   ," KSh660,000 ",  Nairobi  Automatic  Grey 77000 km   Foreign Used 2013 Petrol 
8537,  2012 Nissan Wingroad     4 (10 Reviews)   ," KSh780,000 ",  Nairobi  Automatic  Silver 159480 km   Foreign Used 2012 Petrol 
8538,  2014 Subaru Forester 2.0 Automatic     5 (9 Reviews)   ," KSh2,630,000 ",  Nairobi  Automatic  Silver 58000 km   Foreign Used 2014 Petrol 
8539,  2012 Toyota Land Cruiser Prado TX-L     4 (3 Reviews)   ," KSh4,450,000 ",  Nairobi  Automatic  Black 62000 km   Foreign Used 2012 Petrol 
8540,  2013 Toyota Land Cruiser Prado TX-L     4 (3 Reviews)   ," KSh4,580,000 ",  Nairobi  Automatic  Black 65000 km   Foreign Used 2013 Petrol 
8541,  2013 Mitsubishi Outlander 2.4     4 (2 Reviews)   ," KSh2,480,000 ",  Nairobi  Automatic  Orange 90000 km   Foreign Used 2013 Petrol 
8542,  2011 BMW X1     5 (1 Review)   ," KSh1,650,000 ",  Nairobi  Automatic  White 98000 km   Foreign Used 2011 Petrol 
8543,  2006 Land Rover Range Rover Sport  ,"KSh2,300,000",  Nairobi  Automatic  109000 km   Locally Used 2006 Diesel 
8544,  2006 Toyota Fielder     5 (8 Reviews)   ,"KSh680,000",  Nairobi  Automatic  129000 km   Locally Used 2006 Petrol 
8545,  2009 Volkswagen Touareg  ," KSh2,000,000 ",  Nairobi  Automatic  Black 141000 km   Locally Used 2009 Diesel 
