,make,price,details
3788,  2014 Land Rover Range Rover Vogue Autobiography  ," KSh13,500,000 ",  Nairobi  Automatic  Gold 52000 km   Foreign Used 2014 Diesel 
3789,  2014 Toyota Fortuner 3.0 D-4D 4x4     5 (2 Reviews)   ," KSh3,850,000 ",  Nairobi  Automatic  Gold 56000 km   Foreign Used 2014 Diesel 
3790,  2013 Toyota Ractis     5 (7 Reviews)   ," KSh920,000 ",  Mombasa  Automatic  Black 65897 km   Foreign Used 2013 Petrol 
3791,  2013  Toyota Vitz     5 (13 Reviews)   ," KSh780,000 ",  Mombasa  Automatic  Foreign Used 2013 Petrol 
3792,  2013 Toyota HiAce     5 (3 Reviews)   ," KSh2,300,000 ",  Mombasa  Automatic  Foreign Used 2013 Diesel 
3793,  2013 Subaru Forester     5 (9 Reviews)   ," KSh2,000,000 ",  Mombasa  Foreign Used 2013 
3794,  2013 BMW 320i  ," KSh1,850,000 ",  Mombasa  Automatic  Foreign Used 2013 Petrol 
3795,  2012 Lexus 570  ," KSh6,200,000 ",  Nairobi  Automatic  Silver Locally Used 2012 Petrol 
3796,  2014 Mercedes-Benz C180     5 (1 Review)   ," KSh3,400,000 ",  Mombasa  Automatic  Black Foreign Used 2014 Petrol 
3797,  2013 Mercedes-Benz C200 CGI     5 (6 Reviews)   ," KSh2,100,000 ",  Mombasa  Automatic  Silver 58000 km   Foreign Used 2013 Petrol 
3798,  2013 Mazda Axela     4 (1 Review)   ," KSh1,100,000 ",  Mombasa  Automatic  Foreign Used 2013 Petrol 
3799,  2013 Toyota Allion     5 (7 Reviews)   ," KSh1,450,000 ",  Mombasa  Automatic  Foreign Used 2013 Petrol 
3800,  2013 Toyota Land Cruiser Prado TX-L     4 (3 Reviews)   ," KSh4,200,000 ",  Mombasa  Automatic  White 74000 km   Foreign Used 2013 Petrol 
3801,  2012 Mercedes-Benz C200     5 (6 Reviews)   ," KSh1,999,999 ",  Nairobi  Automatic  Black Locally Used 2012 Petrol 
3802,  2013 Toyota Fielder     5 (8 Reviews)   ," KSh1,250,000 ",  Mombasa  Automatic  Black 58000 km   Foreign Used 2013 Petrol 
3803,  2013 Toyota Premio     5 (15 Reviews)   ," KSh1,650,000 ",  Mombasa  Automatic  Foreign Used 2013 
3804,  2013 Toyota Vanguard     4 (1 Review)   ," KSh2,400,000 ",  Mombasa  Automatic  Maroon 58000 km   Foreign Used 2013 Petrol 
3805,  2013 Toyota Premio     5 (15 Reviews)   ," KSh1,630,000 ",  Mombasa  Automatic  10933 km   Foreign Used 2013 Petrol 
3806,  2013 Toyota Premio     5 (15 Reviews)   ," KSh1,550,000 ",  Mombasa  Automatic  Silver 64000 km   Foreign Used 2013 Petrol 
3807,  2014 Toyota Auris     5 (4 Reviews)   ," KSh1,200,000 ",  Mombasa  Automatic  99819 km   Foreign Used 2014 Petrol 
3808,  2013 Mazda Axela Sport     4 (1 Review)   ,"  KSh1,000,000 ",  Mombasa  Automatic  Grey 86000 km   Foreign Used 2013 Petrol 
3809,  2013 Nissan Note      5 (4 Reviews)   ," KSh690,000 ",  Mombasa  Automatic  White Foreign Used 2013 Petrol 
3810,  2008 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh2,100,000 ",  Mombasa  Automatic  White Locally Used 2008 Diesel 
3811,  2013 Volkswagen Golf     4 (3 Reviews)   ," KSh1,230,000 ",  Nairobi  Automatic  Black 94844 km   Foreign Used 2013 Petrol 
3812,  2013 Volvo S60  ," KSh1,600,000 ",  Nairobi  Automatic  Dark Blue 46551 km   Foreign Used 2013 Petrol 
3813,  2013 Honda Fit     5 (10 Reviews)   ," KSh830,000 ",  Nairobi  Automatic  White 102728 km   Foreign Used 2013 Petrol 
3814,  2013 Toyota Hilux 3.0 D-4D Double Cab     5 (3 Reviews)   ," KSh3,400,000 ",  Mombasa  Automatic  Silver 65000 km   Foreign Used 2013 Diesel 
3815,  1997 Mercedes-Benz 200     4 (1 Review)   ," KSh650,000 ",  Nairobi  Automatic  Locally Used 1997 Petrol 
3816,  2013 Nissan X-Trail 2.0 Petrol XE     4 (6 Reviews)   ," KSh1,580,000 ",  Mombasa  Automatic  Grey 85000 km   Foreign Used 2013 Petrol 
3817,  2013 Toyota Vitz     5 (13 Reviews)   ," KSh830,000 ",  Nairobi  Automatic  White 10694 km   Foreign Used 2013 Petrol 
3818,  2012 Land Rover Discovery IV  ," KSh4,950,000 ",  Nairobi  Automatic  43038 km   Foreign Used 2012 
3819,  2014 BMW X5  ," KSh6,450,000 ",  Nairobi  Automatic  Silver 63048 km   Foreign Used 2014 Petrol 
3820,  2010 Nissan Patrol     4 (1 Review)   ," KSh2,950,000 ",  Nairobi  Automatic  White 83067 km   Foreign Used 2010 Diesel 
3821,  2010 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh3,450,000 ",  Nairobi  Automatic  White Locally Used 2010 Petrol 
3822,  2013 Toyota Land Cruiser 100 VX 4.7 V8      5 (7 Reviews)   ," KSh5,650,000 ",  Nairobi  Automatic  Black Foreign Used 2013 Diesel 
3823,  2010 Mercedes-Benz E350  ," KSh2,000,000 ",  Nairobi  Automatic  White Locally Used 2010 Petrol 
3824,  2015 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh6,500,000 ",  Nairobi  Automatic  Black Foreign Used 2015 Diesel 
